history:WM3423_BJ_LTA_REF/LTA_DISCHRG_PSIG
2019-十月-1 00:00 AM CT  to  2019-十月-16 14:26 PM CT

Timestamp,Trend Flags,Status,Value (psi)
"2019-十月-9 20:00:00 PM CT","{ }","{ok}","227.2 psi"
"2019-十月-9 20:10:00 PM CT","{ }","{ok}","211.0 psi"
"2019-十月-9 20:20:00 PM CT","{ }","{ok}","191.0 psi"
"2019-十月-9 20:30:00 PM CT","{ }","{ok}","194.9 psi"
"2019-十月-9 20:40:00 PM CT","{ }","{ok}","213.5 psi"
"2019-十月-9 20:50:00 PM CT","{ }","{ok}","211.5 psi"
"2019-十月-9 21:00:00 PM CT","{ }","{ok}","194.0 psi"
"2019-十月-9 21:10:00 PM CT","{ }","{ok}","187.6 psi"
"2019-十月-9 21:20:00 PM CT","{ }","{ok}","176.4 psi"
"2019-十月-9 21:30:00 PM CT","{ }","{ok}","183.2 psi"
"2019-十月-9 21:40:00 PM CT","{ }","{ok}","184.7 psi"
"2019-十月-9 21:50:00 PM CT","{ }","{ok}","197.4 psi"
"2019-十月-9 22:00:00 PM CT","{ }","{ok}","179.3 psi"
"2019-十月-9 22:10:00 PM CT","{ }","{ok}","183.7 psi"
"2019-十月-9 22:20:00 PM CT","{ }","{ok}","185.2 psi"
"2019-十月-9 22:30:00 PM CT","{ }","{ok}","183.7 psi"
"2019-十月-9 22:40:00 PM CT","{ }","{ok}","174.4 psi"
"2019-十月-9 22:50:00 PM CT","{ }","{ok}","201.8 psi"
"2019-十月-9 23:00:00 PM CT","{ }","{ok}","183.7 psi"
"2019-十月-9 23:10:00 PM CT","{ }","{ok}","175.9 psi"
"2019-十月-9 23:20:00 PM CT","{ }","{ok}","205.2 psi"
"2019-十月-9 23:30:00 PM CT","{ }","{ok}","194.4 psi"
"2019-十月-9 23:40:00 PM CT","{ }","{ok}","200.3 psi"
"2019-十月-9 23:50:00 PM CT","{ }","{ok}","189.6 psi"
"2019-十月-10 00:00:00 AM CT","{ }","{ok}","187.6 psi"
"2019-十月-10 00:10:00 AM CT","{ }","{ok}","177.4 psi"
"2019-十月-10 00:20:00 AM CT","{ }","{ok}","193.0 psi"
"2019-十月-10 00:30:00 AM CT","{ }","{ok}","167.1 psi"
"2019-十月-10 00:40:00 AM CT","{ }","{ok}","175.4 psi"
"2019-十月-10 00:50:00 AM CT","{ }","{ok}","168.6 psi"
"2019-十月-10 01:00:00 AM CT","{ }","{ok}","159.8 psi"
"2019-十月-10 01:10:00 AM CT","{ }","{ok}","164.2 psi"
"2019-十月-10 01:20:00 AM CT","{ }","{ok}","182.7 psi"
"2019-十月-10 01:30:00 AM CT","{ }","{ok}","166.1 psi"
"2019-十月-10 01:40:00 AM CT","{ }","{ok}","173.0 psi"
"2019-十月-10 01:50:00 AM CT","{ }","{ok}","165.2 psi"
"2019-十月-10 02:00:00 AM CT","{ }","{ok}","178.8 psi"
"2019-十月-10 02:10:00 AM CT","{ }","{ok}","166.1 psi"
"2019-十月-10 02:20:00 AM CT","{ }","{ok}","159.8 psi"
"2019-十月-10 02:30:00 AM CT","{ }","{ok}","159.3 psi"
"2019-十月-10 02:40:00 AM CT","{ }","{ok}","191.0 psi"
"2019-十月-10 02:50:00 AM CT","{ }","{ok}","178.3 psi"
"2019-十月-10 03:00:00 AM CT","{ }","{ok}","167.1 psi"
"2019-十月-10 03:10:00 AM CT","{ }","{ok}","173.9 psi"
"2019-十月-10 03:20:00 AM CT","{ }","{ok}","161.2 psi"
"2019-十月-10 03:30:00 AM CT","{ }","{ok}","177.4 psi"
"2019-十月-10 03:40:00 AM CT","{ }","{ok}","182.7 psi"
"2019-十月-10 03:50:00 AM CT","{ }","{ok}","189.1 psi"
"2019-十月-10 04:00:00 AM CT","{ }","{ok}","170.0 psi"
"2019-十月-10 04:10:00 AM CT","{ }","{ok}","173.9 psi"
"2019-十月-10 04:20:00 AM CT","{ }","{ok}","171.0 psi"
