Timestamp,B TEMP_Value (°F),Predict,Lower,Upper
2019-10-15 01:50:00,-17.0,,,
2019-10-15 02:00:00,-13.5,,,
2019-10-15 02:10:00,22.5,,,
2019-10-15 02:20:00,45.0,,,
2019-10-15 02:30:00,60.0,,,
2019-10-15 02:40:00,12.0,,,
2019-10-15 02:50:00,-6.0,,,
2019-10-15 03:00:00,-6.0,,,
2019-10-15 03:10:00,-13.0,,,
2019-10-15 03:20:00,-8.5,,,
2019-10-15 03:30:00,-14.5,,,
2019-10-15 03:40:00,-9.5,,,
2019-10-15 03:50:00,-9.5,,,
2019-10-15 04:00:00,-11.5,,,
2019-10-15 04:10:00,-7.0,,,
2019-10-15 04:20:00,-8.0,,,
2019-10-15 04:30:00,-13.5,,,
2019-10-15 04:40:00,-11.5,,,
2019-10-15 04:50:00,-14.0,,,
2019-10-15 05:00:00,-12.5,,,
2019-10-15 05:10:00,-9.5,,,
2019-10-15 05:20:00,-13.5,,,
2019-10-15 05:30:00,-15.0,,,
2019-10-15 05:40:00,-9.5,,,
2019-10-15 05:50:00,-17.0,,,
2019-10-15 06:00:00,-11.5,,,
2019-10-15 06:10:00,-9.0,,,
2019-10-15 06:20:00,-12.0,,,
2019-10-15 06:30:00,-6.0,,,
2019-10-15 06:40:00,-12.0,,,
2019-10-15 06:50:00,-13.0,,,
2019-10-15 07:00:00,-12.0,,,
2019-10-15 07:10:00,-6.0,,,
2019-10-15 07:20:00,-13.5,,,
2019-10-15 07:30:00,-11.5,,,
2019-10-15 07:40:00,-8.5,,,
2019-10-15 07:50:00,-12.5,,,
2019-10-15 08:00:00,-6.5,,,
2019-10-15 08:10:00,27.0,,,
2019-10-15 08:20:00,47.0,,,
2019-10-15 08:30:00,62.5,,,
2019-10-15 08:40:00,14.5,,,
2019-10-15 08:50:00,-4.5,,,
2019-10-15 09:00:00,-8.0,,,
2019-10-15 09:10:00,-8.5,,,
2019-10-15 09:20:00,-12.5,,,
2019-10-15 09:30:00,-12.5,,,
2019-10-15 09:40:00,-8.5,,,
2019-10-15 09:50:00,-14.0,,,
2019-10-15 10:00:00,-13.0,,,
2019-10-15 10:10:00,-16.5,,,
2019-10-15 10:20:00,-13.0,,,
2019-10-15 10:30:00,-14.0,,,
2019-10-15 10:40:00,-13.5,,,
2019-10-15 10:50:00,-13.5,,,
2019-10-15 11:00:00,-13.5,,,
2019-10-15 11:10:00,-14.5,,,
2019-10-15 11:20:00,-11.5,,,
